epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,867.854,1.05492,0.88218,1.04978,0.92894,0.98973,0.98849,0.64259,1.17996,1.24743,1.20469,0.000456863,0.000456863,0.000456863
43,887.968,1.07963,0.85296,1.0786,0.93322,0.98683,0.98903,0.64578,1.24316,1.40799,1.2574,0.00044925,0.00044925,0.00044925
44,908.146,1.17393,0.94721,1.07604,0.9486,0.99346,0.98572,0.63848,1.27306,1.32929,1.29859,0.000441637,0.000441637,0.000441637
45,928.223,1.10372,0.84527,1.03663,0.94272,0.98697,0.98654,0.6366,1.25641,1.17017,1.29278,0.000434024,0.000434024,0.000434024
46,948.191,1.12888,0.93069,1.08307,0.94142,0.9729,0.98088,0.62353,1.198,1.10109,1.2507,0.000426411,0.000426411,0.000426411
47,968.325,1.13774,0.91537,1.05335,0.96111,0.98362,0.99246,0.63095,1.1198,1.08506,1.18461,0.000418797,0.000418797,0.000418797
48,988.06,1.04338,0.93181,1.104,0.95691,0.99584,0.995,0.646,1.01424,1.09206,1.12741,0.000411184,0.000411184,0.000411184
49,1008.04,1.02678,0.91727,1.07492,0.957,0.99628,0.995,0.65925,0.96792,1.12722,1.11169,0.000403571,0.000403571,0.000403571
50,1027.86,1.15238,0.88543,1.10435,0.96679,0.99394,0.995,0.63437,0.98849,1.12288,1.12921,0.000395958,0.000395958,0.000395958
51,1048.01,1.14946,0.85755,1.07494,0.97958,0.99636,0.995,0.65331,1.00941,1.18515,1.13381,0.000388345,0.000388345,0.000388345
52,1067.62,1.0317,0.84603,1.05731,0.97592,1,0.995,0.66041,1.03957,1.1866,1.1424,0.000380732,0.000380732,0.000380732
53,1087.58,1.00051,0.8336,1.01003,0.97001,0.9956,0.995,0.64689,1.0735,1.12763,1.16215,0.000373119,0.000373119,0.000373119
54,1107.5,1.00572,0.77235,1.03302,0.96453,1,0.995,0.64244,1.1124,1.08599,1.19686,0.000365506,0.000365506,0.000365506
55,1127.52,1.04762,0.86302,1.05062,0.95822,0.99305,0.995,0.65295,1.12163,1.12367,1.20397,0.000357893,0.000357893,0.000357893
56,1147.14,1.09342,0.86981,1.06671,0.941,0.98542,0.98748,0.6542,1.17496,1.20284,1.24341,0.00035028,0.00035028,0.00035028
57,1167.05,1.08256,0.88504,1.09097,0.9352,0.98086,0.9868,0.65943,1.18269,1.12724,1.27508,0.000342666,0.000342666,0.000342666
58,1188.94,1.0148,0.86671,1.06647,0.94767,0.98226,0.98709,0.66946,1.18735,1.03667,1.30077,0.000335053,0.000335053,0.000335053
59,1208.77,1.12561,0.87833,1.08652,0.95018,0.98446,0.9867,0.6473,1.17608,1.0344,1.31033,0.00032744,0.00032744,0.00032744
60,1228.52,1.02275,0.8085,1.01798,0.95578,0.98546,0.98637,0.65729,1.18344,1.06215,1.31734,0.000319827,0.000319827,0.000319827
61,1248.59,1.05027,0.79634,1.00152,0.95724,0.99404,0.995,0.66462,1.19462,1.07508,1.32457,0.000312214,0.000312214,0.000312214
62,1268.38,1.07008,0.80401,1.02146,0.94886,0.99475,0.995,0.66537,1.18411,1.05991,1.30123,0.000304601,0.000304601,0.000304601
63,1287.98,0.98956,0.80449,1.05539,0.94689,0.9913,0.995,0.66259,1.1609,1.06179,1.26699,0.000296988,0.000296988,0.000296988
64,1307.8,1.04471,0.85945,1.06483,0.95598,0.98774,0.995,0.66904,1.13053,1.09174,1.21073,0.000289375,0.000289375,0.000289375
65,1327.63,1.09768,0.83765,1.07848,0.95754,0.97846,0.995,0.66985,1.09416,1.11655,1.17512,0.000281762,0.000281762,0.000281762
